1; -inf - -0.3959; 10; 0.3522; 10.5649; -0.5649; 0.0302
2; -0.3959 - inf; 20; 0.6478; 19.4351; 0.5649; 0.0164
;;30;1.0000;30.0000;0.0000

2.0000;0.0466

-0.1135;0.7444
